Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01     9693     0.00     0.00  Triangle3::Triangle3(Vector3, Vector3, Vector3)
  0.00      0.01     0.00   558280     0.00     0.00  Vector3::Vector3()
  0.00      0.01     0.00   204355     0.00     0.00  Vector3::Vector3(float, float, float)
  0.00      0.01     0.00   196608     0.00     0.00  ReducedFrag::ReducedFrag()
  0.00      0.01     0.00   177604     0.00     0.00  Matrix4::set(int, int, float)
  0.00      0.01     0.00   171407     0.00     0.00  Vector4::Vector4(float, float, float, float)
  0.00      0.01     0.00   121253     0.00     0.00  Vector2::Vector2()
  0.00      0.01     0.00    81508     0.00     0.00  Vector3::Vector3(Vector3 const&)
  0.00      0.01     0.00    79028     0.00     0.00  Matrix4::getRow(int)
  0.00      0.01     0.00    78986     0.00     0.00  BASE::fzero(float)
  0.00      0.01     0.00    65578     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      0.01     0.00    65556     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00      0.01     0.00    65538     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int)
  0.00      0.01     0.00    65538     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
  0.00      0.01     0.00    65536     0.00     0.00  std::__cxx11::to_string(unsigned int)
  0.00      0.01     0.00    65018     0.00     0.00  Vector2::Vector2(Vector2 const&)
  0.00      0.01     0.00    63588     0.00     0.00  Matrix3::Matrix3()
  0.00      0.01     0.00    59382     0.00     0.00  Vector4::Vector4()
  0.00      0.01     0.00    57943     0.00     0.00  Vector2::Vector2(float, float)
  0.00      0.01     0.00    55976     0.00     0.00  Matrix4::get(int, int)
  0.00      0.01     0.00    40719     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.01     0.00    38364     0.00     0.00  Matrix4::setRow(int, Vector4)
  0.00      0.01     0.00    38199     0.00     0.00  Matrix3::Matrix3(float, float, float, float, float, float, float, float, float)
  0.00      0.01     0.00    38198     0.00     0.00  Matrix3::eye()
  0.00      0.01     0.00    38177     0.00     0.00  Transform::Transform()
  0.00      0.01     0.00    37664     0.00     0.00  Vector3::normsquared()
  0.00      0.01     0.00    37658     0.00     0.00  Vector3::length()
  0.00      0.01     0.00    36928     0.00     0.00  Vector3::sub(Vector3 const&)
  0.00      0.01     0.00    36928     0.00     0.00  Vector3::operator-(Vector3 const&)
  0.00      0.01     0.00    35372     0.00     0.00  std::vector<Vector3, std::allocator<Vector3> >::operator[](unsigned long)
  0.00      0.01     0.00    34829     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.01     0.00    34200     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_M_get_Tp_allocator()
  0.00      0.01     0.00    31680     0.00     0.00  __gnu_cxx::__normal_iterator<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > >::base() const
  0.00      0.01     0.00    31511     0.00     0.00  Vector3::cross(Vector3 const&)
  0.00      0.01     0.00    28048     0.00     0.00  Vector3::add(Vector3 const&)
  0.00      0.01     0.00    28048     0.00     0.00  Vector3::operator+(Vector3 const&)
  0.00      0.01     0.00    27380     0.00     0.00  Vector3::normalized()
  0.00      0.01     0.00    25488     0.00     0.00  Vector4::add(Vector4 const&)
  0.00      0.01     0.00    25488     0.00     0.00  Vector4::mul(float)
  0.00      0.01     0.00    25488     0.00     0.00  Vector4::operator*(float)
  0.00      0.01     0.00    25488     0.00     0.00  Vector4::operator+(Vector4 const&)
  0.00      0.01     0.00    24614     0.00     0.00  Transform::Transform(Transform const&)
  0.00      0.01     0.00    24456     0.00     0.00  Object::Object(Object const&)
  0.00      0.01     0.00    24400     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.01     0.00    22056     0.00     0.00  vec3(Vector4 const&)
  0.00      0.01     0.00    20621     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      0.01     0.00    20406     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data const&)
  0.00      0.01     0.00    20160     0.00     0.00  __gnu_cxx::__normal_iterator<Triangle3*, std::vector<Triangle3, std::allocator<Triangle3> > >::__normal_iterator(Triangle3* const&)
  0.00      0.01     0.00    20160     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::size() const
  0.00      0.01     0.00    20052     0.00     0.00  Vector3::get(int)
  0.00      0.01     0.00    19793     0.00     0.00  Vector4::sub(Vector4 const&)
  0.00      0.01     0.00    19793     0.00     0.00  Vector4::operator-(Vector4 const&)
  0.00      0.01     0.00    19701     0.00     0.00  Fragment::Fragment()
  0.00      0.01     0.00    19230     0.00     0.00  Vector3::mul(float)
  0.00      0.01     0.00    19230     0.00     0.00  Vector3::operator*(float)
  0.00      0.01     0.00    18781     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.01     0.00    18516     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.01     0.00    18360     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Triangle3*>(Triangle3*, Triangle3*)
  0.00      0.01     0.00    18360     0.00     0.00  void std::_Destroy<Triangle3*>(Triangle3*, Triangle3*)
  0.00      0.01     0.00    17557     0.00     0.00  Vector3::div(float)
  0.00      0.01     0.00    17557     0.00     0.00  Vector3::operator/(float)
  0.00      0.01     0.00    17124     0.00     0.00  Vector3::dot(Vector3 const&)
  0.00      0.01     0.00    17124     0.00     0.00  Vector3::operator*(Vector3 const&)
  0.00      0.01     0.00    16920     0.00     0.00  std::__new_allocator<Triangle3>::~__new_allocator()
  0.00      0.01     0.00    16771     0.00     0.00  Triangle3::Triangle3(Triangle3 const&)
  0.00      0.01     0.00    16560     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_M_deallocate(Triangle3*, unsigned long)
  0.00      0.01     0.00    15840     0.00     0.00  Triangle3 const* std::__make_move_if_noexcept_iterator<Triangle3, Triangle3 const*>(Triangle3*)
  0.00      0.01     0.00    15176     0.00     0.00  Vector4::dot(Vector4 const&)
  0.00      0.01     0.00    15176     0.00     0.00  Vector4::set(int, float)
  0.00      0.01     0.00    14688     0.00     0.00  Matrix3::get(int, int)
  0.00      0.01     0.00    13713     0.00     0.00  Object::Object()
  0.00      0.01     0.00    12960     0.00     0.00  __gnu_cxx::__normal_iterator<Triangle3 const*, std::vector<Triangle3, std::allocator<Triangle3> > >::base() const
  0.00      0.01     0.00    12600     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00    12600     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::~_Vector_base()
  0.00      0.01     0.00    12600     0.00     0.00  std::vector<Triangle3, std::allocator<Triangle3> >::~vector()
  0.00      0.01     0.00    12240     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00    12240     0.00     0.00  std::_Vector_base<Triangle3, std::allocator<Triangle3> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.01     0.00    11984     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.01     0.00    11979     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.01     0.00    11979     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.01     0.00    11979     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.01     0.00    11979     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
